T_wall_C,p_T2_Pa,mdot_he_kg_s,J_T2_mol_m2_s,J_sieverts_mol_m2_s,p_surf_over_p_bulk,K_eff_mol_m2_s_Pa,Re_tube,Lambda
2.800000000000000000e+02,1.000000000000000000e+00,1.000000000000000056e-01,8.274756193551660221e-12,8.274758594834859459e-12,9.999994196125908674e-01,1.425729790711524898e-05,3.589744502190844173e+02,2.591662255867801436e-07
2.800000000000000000e+02,1.000000000000000000e+00,5.000000000000000000e-01,8.274756193551660221e-12,8.274758594834859459e-12,9.999994196125908674e-01,1.425729790711524898e-05,1.794872251095421689e+03,2.591662255867801436e-07
2.800000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,8.274757053633299244e-12,8.274758594834859459e-12,9.999996274933222740e-01,2.221371468577749010e-05,3.589744502190843377e+03,2.591662255867801436e-07
2.800000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00,8.274758128170333176e-12,8.274758594834859459e-12,9.999998872077034973e-01,7.336279485369938652e-05,7.179489004381686755e+03,2.591662255867801436e-07
2.800000000000000000e+02,3.000000000000000000e+00,1.000000000000000056e-01,1.433229990533788068e-11,1.433230230662122532e-11,9.999996649131319693e-01,1.425729790711524898e-05,3.589744502190844173e+02,1.496296901073867950e-07
2.800000000000000000e+02,3.000000000000000000e+00,5.000000000000000000e-01,1.433229990533788068e-11,1.433230230662122532e-11,9.999996649131319693e-01,1.425729790711524898e-05,1.794872251095421689e+03,1.496296901073867950e-07
2.800000000000000000e+02,3.000000000000000000e+00,1.000000000000000000e+00,1.433230076541960856e-11,1.433230230662122532e-11,9.999997849331526689e-01,2.221371468577749010e-05,3.589744502190843377e+03,1.496296901073867950e-07
2.800000000000000000e+02,3.000000000000000000e+00,2.000000000000000000e+00,1.433230183995669419e-11,1.433230230662122532e-11,9.999999348793354725e-01,7.336279485369938652e-05,7.179489004381686755e+03,1.496296901073867950e-07
2.800000000000000000e+02,1.000000000000000000e+01,1.000000000000000056e-01,2.616708184644912918e-11,2.616708424773256591e-11,9.999998164653497446e-01,1.425729790711524898e-05,3.589744502190844173e+02,8.195555654432334356e-08
2.800000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e-01,2.616708184644912918e-11,2.616708424773256591e-11,9.999998164653497446e-01,1.425729790711524898e-05,1.794872251095421689e+03,8.195555654432334356e-08
2.800000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+00,2.616708270653090876e-11,2.616708424773256591e-11,9.999998822030304879e-01,2.221371468577749010e-05,3.589744502190843377e+03,8.195555654432334356e-08
2.800000000000000000e+02,1.000000000000000000e+01,2.000000000000000000e+00,2.616708378106802832e-11,2.616708424773256591e-11,9.999999643319424925e-01,7.336279485369938652e-05,7.179489004381686755e+03,8.195555654432334356e-08
2.800000000000000000e+02,3.000000000000000000e+01,1.000000000000000056e-01,4.532271700172455813e-11,4.532271940300804010e-11,9.999998940362162525e-01,1.425729790711524898e-05,3.589744502190844173e+02,4.731706263245067549e-08
2.800000000000000000e+02,3.000000000000000000e+01,5.000000000000000000e-01,4.532271700172455813e-11,4.532271940300804010e-11,9.999998940362162525e-01,1.425729790711524898e-05,1.794872251095421689e+03,4.731706263245067549e-08
2.800000000000000000e+02,3.000000000000000000e+01,1.000000000000000000e+00,4.532271786180636356e-11,4.532271940300804010e-11,9.999999319898864591e-01,2.221371468577749010e-05,3.589744502190843377e+03,4.731706263245067549e-08
2.800000000000000000e+02,3.000000000000000000e+01,2.000000000000000000e+00,4.532271893634350574e-11,4.532271940300804010e-11,9.999999794070375536e-01,7.336279485369938652e-05,7.179489004381686755e+03,4.731706263245067549e-08
2.800000000000000000e+02,1.000000000000000000e+02,1.000000000000000056e-01,8.274758354706508031e-11,8.274758594834859459e-11,9.999999419612437546e-01,1.425729790711524898e-05,3.589744502190844173e+02,2.591662255867801568e-08
2.800000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e-01,8.274758354706508031e-11,8.274758594834859459e-11,9.999999419612437546e-01,1.425729790711524898e-05,1.794872251095421689e+03,2.591662255867801568e-08
2.800000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+00,8.274758440714690513e-11,8.274758594834859459e-11,9.999999627493260101e-01,2.221371468577749010e-05,3.589744502190843377e+03,2.591662255867801568e-08
2.800000000000000000e+02,1.000000000000000000e+02,2.000000000000000000e+00,8.274758548168405377e-11,8.274758594834859459e-11,9.999999887207696725e-01,7.336279485369938652e-05,7.179489004381686755e+03,2.591662255867801568e-08
3.000000000000000000e+02,1.000000000000000000e+00,1.000000000000000056e-01,1.626915687684053293e-11,1.626916591850641722e-11,9.999988884908521669e-01,1.463699773139687403e-05,3.505326970837209615e+02,4.374649180736718027e-07
3.000000000000000000e+02,1.000000000000000000e+00,5.000000000000000000e-01,1.626915687684053293e-11,1.626916591850641722e-11,9.999988884908521669e-01,1.463699773139687403e-05,1.752663485418604751e+03,4.374649180736718027e-07
3.000000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.626915992350206121e-11,1.626916591850641722e-11,9.999992630226673951e-01,2.207552282096145185e-05,3.505326970837209501e+03,4.374649180736718027e-07
3.000000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00,1.626916407757612684e-11,1.626916591850641722e-11,9.999997736908953216e-01,7.188912752189566052e-05,7.010653941674419002e+03,4.374649180736718027e-07
3.000000000000000000e+02,3.000000000000000000e+00,1.000000000000000056e-01,2.817901292595414756e-11,2.817902196762109491e-11,9.999993582697435102e-01,1.463699773139687403e-05,3.505326970837209615e+02,2.525704882108520318e-07
3.000000000000000000e+02,3.000000000000000000e+00,5.000000000000000000e-01,2.817901292595414756e-11,2.817902196762109491e-11,9.999993582697435102e-01,1.463699773139687403e-05,1.752663485418604751e+03,2.525704882108520318e-07
3.000000000000000000e+02,3.000000000000000000e+00,1.000000000000000000e+00,2.817901597261627037e-11,2.817902196762109491e-11,9.999995745058724017e-01,2.207552282096145185e-05,3.505326970837209501e+03,2.525704882108520318e-07
3.000000000000000000e+02,3.000000000000000000e+00,2.000000000000000000e+00,2.817902012669075928e-11,2.817902196762109491e-11,9.999998693403711059e-01,7.188912752189566052e-05,7.010653941674419002e+03,2.525704882108520318e-07
3.000000000000000000e+02,1.000000000000000000e+01,1.000000000000000056e-01,5.144761089199801111e-11,5.144761993366561761e-11,9.999996485098117116e-01,1.463699773139687403e-05,3.505326970837209615e+02,1.383385537531762426e-07
3.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e-01,5.144761089199801111e-11,5.144761993366561761e-11,9.999996485098117116e-01,1.463699773139687403e-05,1.752663485418604751e+03,1.383385537531762426e-07
3.000000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+00,5.144761393866050550e-11,5.144761993366561761e-11,9.999997669472457940e-01,2.207552282096145185e-05,3.505326970837209501e+03,1.383385537531762426e-07
3.000000000000000000e+02,1.000000000000000000e+01,2.000000000000000000e+00,5.144761809273525937e-11,5.144761993366561761e-11,9.999999284347719231e-01,7.188912752189566052e-05,7.010653941674419002e+03,1.383385537531762426e-07
3.000000000000000000e+02,3.000000000000000000e+01,1.000000000000000056e-01,8.910988261193425799e-11,8.910989165360220054e-11,9.999997970670301273e-01,1.463699773139687403e-05,3.505326970837209615e+02,7.986980124869982446e-08
3.000000000000000000e+02,3.000000000000000000e+01,5.000000000000000000e-01,8.910988261193425799e-11,8.910989165360220054e-11,9.999997970670301273e-01,1.463699773139687403e-05,1.752663485418604751e+03,7.986980124869982446e-08
3.000000000000000000e+02,3.000000000000000000e+01,1.000000000000000000e+00,8.910988565859692041e-11,8.910989165360220054e-11,9.999998654469226533e-01,2.207552282096145185e-05,3.505326970837209501e+03,7.986980124869982446e-08
3.000000000000000000e+02,3.000000000000000000e+01,2.000000000000000000e+00,8.910988981267182291e-11,8.910989165360220054e-11,9.999999586817956976e-01,7.188912752189566052e-05,7.010653941674419002e+03,7.986980124869982446e-08
3.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000056e-01,1.626916501433960164e-10,1.626916591850641787e-10,9.999998888490294613e-01,1.463699773139687403e-05,3.505326970837209615e+02,4.374649180736718292e-08
3.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e-01,1.626916501433960164e-10,1.626916591850641787e-10,9.999998888490294613e-01,1.463699773139687403e-05,1.752663485418604751e+03,4.374649180736718292e-08
3.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+00,1.626916531900588339e-10,1.626916591850641787e-10,9.999999263022424367e-01,2.207552282096145185e-05,3.505326970837209501e+03,4.374649180736718292e-08
3.000000000000000000e+02,1.000000000000000000e+02,2.000000000000000000e+00,1.626916573441338140e-10,1.626916591850641787e-10,9.999999773690875227e-01,7.188912752189566052e-05,7.010653941674419002e+03,4.374649180736718292e-08
3.200000000000000000e+02,1.000000000000000000e+00,1.000000000000000056e-01,3.056150619623330962e-11,3.056153730228964998e-11,9.999979643667659124e-01,1.501326746175106700e-05,3.425689960994818080e+02,7.128125785175125366e-07
3.200000000000000000e+02,1.000000000000000000e+00,5.000000000000000000e-01,3.056150619623330962e-11,3.056153730228964998e-11,9.999979643667659124e-01,1.501326746175106700e-05,1.712844980497409097e+03,7.128125785175125366e-07
3.200000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.056151603799997146e-11,3.056153730228964998e-11,9.999986084284918642e-01,2.196187250076015991e-05,3.425689960994818193e+03,7.128125785175125366e-07
3.200000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00,3.056153067862660671e-11,3.056153730228964998e-11,9.999995665360507102e-01,7.050535742097991483e-05,6.851379921989636387e+03,7.128125785175125366e-07
3.200000000000000000e+02,3.000000000000000000e+00,1.000000000000000056e-01,5.293410425891413209e-11,5.293413536497715452e-11,9.999988247260988006e-01,1.501326746175106700e-05,3.425689960994818080e+02,4.115425340888371050e-07
3.200000000000000000e+02,3.000000000000000000e+00,5.000000000000000000e-01,5.293410425891413209e-11,5.293413536497715452e-11,9.999988247260988006e-01,1.501326746175106700e-05,1.712844980497409097e+03,4.115425340888371050e-07
3.200000000000000000e+02,3.000000000000000000e+00,1.000000000000000000e+00,5.293411410068435469e-11,5.293413536497715452e-11,9.999991965755788970e-01,2.196187250076015991e-05,3.425689960994818193e+03,4.115425340888371050e-07
3.200000000000000000e+02,3.000000000000000000e+00,2.000000000000000000e+00,5.293412874131380752e-11,5.293413536497715452e-11,9.999997497394493839e-01,7.050535742097991483e-05,6.851379921989636387e+03,4.115425340888371050e-07
3.200000000000000000e+02,1.000000000000000000e+01,1.000000000000000056e-01,9.664403556536600442e-11,9.664406667143316275e-11,9.999993562758021648e-01,1.501326746175106700e-05,3.425689960994818080e+02,2.254111292932948433e-07
3.200000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e-01,9.664403556536600442e-11,9.664406667143316275e-11,9.999993562758021648e-01,1.501326746175106700e-05,1.712844980497409097e+03,2.254111292932948433e-07
3.200000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+00,9.664404540713843068e-11,9.664406667143316275e-11,9.999995599462415674e-01,2.196187250076015991e-05,3.425689960994818193e+03,2.254111292932948433e-07
3.200000000000000000e+02,1.000000000000000000e+01,2.000000000000000000e+00,9.664406004776962188e-11,9.664406667143316275e-11,9.999998629266432237e-01,7.050535742097991483e-05,6.851379921989636387e+03,2.254111292932948433e-07
3.200000000000000000e+02,3.000000000000000000e+01,1.000000000000000056e-01,1.673924026189269399e-10,1.673924337249962308e-10,9.999996283456105139e-01,1.501326746175106700e-05,3.425689960994818080e+02,1.301411761758213059e-07
