z_m,T_he_K,T_sec_K,T_wall_he_K,T_wall_mid_K,T_wall_sec_K,q_pp_W_m2
0.000000000000000000e+00,8.731499999999999773e+02,8.531499999999999773e+02,8.542296303324934570e+02,8.539778818166171277e+02,8.537261333007409121e+02,4.027976254020451961e+03
1.442691639697010475e-01,8.690054972622215246e+02,8.491436473534807874e+02,8.502158201345262114e+02,8.499658105726721260e+02,8.497158010108179269e+02,4.000152989666294616e+03
2.885383279394020950e-01,8.648896226960154081e+02,8.451649686061482498e+02,8.462297353488163481e+02,8.459814527291514423e+02,8.457331701094866503e+02,3.972521914637620284e+03
4.328074919091031703e-01,8.608021785521560787e+02,8.412137726004175420e+02,8.422711844619522026e+02,8.420246168556155908e+02,8.417780492492789790e+02,3.945081701385786346e+03
5.770766558788041900e-01,8.567429684473712541e+02,8.372898694991255297e+02,8.383399772834017085e+02,8.380951128439310196e+02,8.378502484044602170e+02,3.917831031532198267e+03
7.213458198485052097e-01,8.527117973549072758e+02,8.333930707764103545e+02,8.344359249363750450e+02,8.341927518991371926e+02,8.339495788618994538e+02,3.890768595804966935e+03
8.656149838182063405e-01,8.487084715951585849e+02,8.295231892086533207e+02,8.305588398487494715e+02,8.303173465303759713e+02,8.300758532120024711e+02,3.863893093976007094e+03
1.009884147787907249e+00,8.447327988263623411e+02,8.256800388654835388e+02,8.267085357440577127e+02,8.264687105418827286e+02,8.262288853397078583e+02,3.837203234798562335e+03
1.154153311757608380e+00,8.407845880353575012e+02,8.218634351008455496e+02,8.228848276325379629e+02,8.226466590240413552e+02,8.224084904155448612e+02,3.810697735945170734e+03
1.298422475727309511e+00,8.368636495284069952e+02,8.180731945441267499e+02,8.190875318022458487e+02,8.188510083444991778e+02,8.186144848867526207e+02,3.784375323946052958e+03
1.442691639697010419e+00,8.329697949220844748e+02,8.143091350913483666e+02,8.153164658102285784e+02,8.150815761393455432e+02,8.148466864684626216e+02,3.758234734127926913e+03
1.586960803666711550e+00,8.291028371342225682e+02,8.105710758964150955e+02,8.115714484737583234e+02,8.113381813043487227e+02,8.111049141349391221e+02,3.732274710553247587e+03
1.731229967636412681e+00,8.252625903749250256e+02,8.068588373624274936e+02,8.078522998616280120e+02,8.076206439862555726e+02,8.073889881108830195e+02,3.706494005959865717e+03
1.875499131606113590e+00,8.214488701376402560e+02,8.031722411330522391e+02,8.041588412855063552e+02,8.039287855741499698e+02,8.036987298627936980e+02,3.680891381701098908e+03
2.019768295575814498e+00,8.176614931902964827e+02,7.995111100839532128e+02,8.004908952913525582e+02,8.002624286908721842e+02,8.000339620903918103e+02,3.655465607686224303e+03
2.164037459545515851e+00,8.139002775664981755e+02,7.958752683142815840e+02,7.968482856508899204e+02,7.966213971844947537e+02,7.963945087180997007e+02,3.630215462321373707e+03
2.308306623515216760e+00,8.101650425567834191e+02,7.922645411382239899e+02,7.932308373531399184e+02,7.930055161198617952e+02,7.927801948865835584e+02,3.605139732450845258e+03
2.452575787484917669e+00,8.064556086999421041e+02,7.886787550766107415e+02,7.896383765960129040e+02,7.894146117701817502e+02,7.891908469443505965e+02,3.580237213298818460e+03
2.596844951454619022e+00,8.027717977743928941e+02,7.851177378485797362e+02,7.860707307779580333e+02,7.858485116086823155e+02,7.856262924394065976e+02,3.555506708411463023e+03
2.741114115424319930e+00,7.991134327896210152e+02,7.815813183633002836e+02,7.825277284896703804e+02,7.823070443003203991e+02,7.820863601109704177e+02,3.530947029599461530e+03
2.885383279394020839e+00,7.954803379776744805e+02,7.780693267117519554e+02,7.790091995058558041e+02,7.787900396935507388e+02,7.785708798812456735e+02,3.506556996880918632e+03
3.029652443363722192e+00,7.918723387847190907e+02,7.745815941585617566e+02,7.755149747770516342e+02,7.752973288121501128e+02,7.750796828472485913e+02,3.482335438424670429e+03
3.173921607333423101e+00,7.882892618626522108e+02,7.711179531338971174e+02,7.720448864215057938e+02,7.718287438470999859e+02,7.716126012726940644e+02,3.458281190493979921e+03
3.318190771303124009e+00,7.847309350607739589e+02,7.676782372254148186e+02,7.685987677171098085e+02,7.683841181485229299e+02,7.681694685799359377e+02,3.434393097390630373e+03
3.462459935272825362e+00,7.811971874175162611e+02,7.642622811702657373e+02,7.651764530933888864e+02,7.649632862176763410e+02,7.647501193419639094e+02,3.410670011399392024e+03
3.606729099242526271e+00,7.776878491522286367e+02,7.608699208471543898e+02,7.617777781235472503e+02,7.615660836990014104e+02,7.613543892744556842e+02,3.387110792732886239e+03
3.750998263212227180e+00,7.742027516570215084e+02,7.575009932684540672e+02,7.584025795165678119e+02,7.581923473722255267e+02,7.579821152278832415e+02,3.363714309476818471e+03
3.895267427181928088e+00,7.707417274886649921e+02,7.541553365723761999e+02,7.550506951093670978e+02,7.548419151445211810e+02,7.546331351796751505e+02,3.340479437535600482e+03
4.039536591151628997e+00,7.673046103605438475e+02,7.508327900151923586e+02,7.517219638590036084e+02,7.515146260427175093e+02,7.513072882264312966e+02,3.317405060578335451e+03
4.183805755121330350e+00,7.638912351346685909e+02,7.475331939635129856e+02,7.484162258349407466e+02,7.482103202055666316e+02,7.480044145761926302e+02,3.294490069985190530e+03
4.328074919091031703e+00,7.605014378137412905e+02,7.442563898866166028e+02,7.451333222113632928e+02,7.449288388760636508e+02,7.447243555407640088e+02,3.271733364794128192e+03
4.472344083060732167e+00,7.571350555332757040e+02,7.410022203488331343e+02,7.418730952595452663e+02,7.416700243938172434e+02,7.414669535280892205e+02,3.249133851648010477e+03
4.616613247030433520e+00,7.537919265537731235e+02,7.377705290019806625e+02,7.386353883402732663e+02,7.384337201874768652e+02,7.382320520346804642e+02,3.226690444742071122e+03
4.760882411000134873e+00,7.504718902529510842e+02,7.345611605778526609e+02,7.354200458963197207e+02,7.352197707672089564e+02,7.350194956380983058e+02,3.204402065771742400e+03
4.905151574969835337e+00,7.471747871180261882e+02,7.313739608807586592e+02,7.322269134449692274e+02,7.320280217172266930e+02,7.318291299894841586e+02,3.182267643880853029e+03
5.049420738939536690e+00,7.439004587380503608e+02,7.282087767801152722e+02,7.290558375705966228e+02,7.288583196883710116e+02,7.286608018061454004e+02,3.160286115610173511e+03
5.193689902909238043e+00,7.406487477962998582e+02,7.250654562030898660e+02,7.259066659172958680e+02,7.257105123907429061e+02,7.255143588641900578e+02,3.138456424846323898e+03
5.337959066878938508e+00,7.374194980627169116e+02,7.219438481272929948e+02,7.227792471815596400e+02,7.225844485863864293e+02,7.223896499912132185e+02,3.116777522771034000e+03
5.482228230848639861e+00,7.342125543864035535e+02,7.188438025735233623e+02,7.196734311050108772e+02,7.194799780820226260e+02,7.192865250590344885e+02,3.095248367810749187e+03
5.626497394818341213e+00,7.310277626881676269e+02,7.157651705985620083e+02,7.165890684671826421e+02,7.163969517218334886e+02,7.162048349764843351e+02,3.073867925586589536e+03
5.770766558788041678e+00,7.278649699531192709e+02,7.127078042880152680e+02,7.135260110783490290e+02,7.133352213802950246e+02,7.131444316822409064e+02,3.052635168864650950e+03
5.915035722757743031e+00,7.247240242233201570e+02,7.096715567492094578e+02,7.104841117724055266e+02,7.102946399550613705e+02,7.101051681377172144e+02,3.031549077506654157e+03
6.059304886727444384e+00,7.216047745904813837e+02,7.066562821041319467e+02,7.074632243997976957e+02,7.072750613598964264e+02,7.070868983199950435e+02,3.010608638420927036e+03
6.203574050697144848e+00,7.185070711887145762e+02,7.036618354824240669e+02,7.044632038205003255e+02,7.042763405176557399e+02,7.040894772148111542e+02,2.989812845513735283e+03
6.347843214666846201e+00,7.154307651873302802e+02,7.006880730144192739e+02,7.014839058970436554e+02,7.012983333533161385e+02,7.011127608095885080e+02,2.969160699640941402e+03
6.492112378636547554e+00,7.123757087836875144e+02,6.977348518242312139e+02,6.985251874875875728e+02,6.983408967870525430e+02,6.981566060865176269e+02,2.948651208559997485e+03
6.636381542606248019e+00,7.093417551960931178e+02,6.948020300228899941e+02,6.955869064390453786e+02,6.954038887273652563e+02,6.952208710156851339e+02,2.928283386882280411e+03
6.780650706575949371e+00,7.063287586567486187e+02,6.918894667015235882e+02,6.926689215802531407e+02,6.924871680642515912e+02,6.923054145482499280e+02,2.908056256025738548e+03
6.924919870545650724e+00,7.033365744047480348e+02,6.889970219245897169e+02,6.897710927151878195e+02,6.895905946624272929e+02,6.894100966096668799e+02,2.887968844167884527e+03
7.069189034515351189e+00,7.003650586791213755e+02,6.861245567231505902e+02,6.868932806162305269e+02,6.867140293545930945e+02,6.865347780929556620e+02,2.868020186199097225e+03
7.213458198485052542e+00,6.974140687119283939e+02,6.832719330881974429e+02,6.840353470174782160e+02,6.838573339347484534e+02,6.836793208520186909e+02,2.848209323676253916e+03
7.357727362454753006e+00,6.944834627213989506e+02,6.804390139640189545e+02,6.811971546080998223e+02,6.810203711515512168e+02,6.808435876950027250e+02,2.828535304776683006e+03
7.501996526424454359e+00,6.915730999051214667e+02,6.776256632416174170e+02,6.783785670257399261e+02,6.782030047017241259e+02,6.780274423777083257e+02,2.808997184252433271e+03
7.646265690394155712e+00,6.886828404332771925e+02,6.748317457521678762e+02,6.755794488499661838e+02,6.754050992235046351e+02,6.752307495970430864e+02,2.789594023384855973e+03
7.790534854363856176e+00,6.858125454419230209e+02,6.720571272605255899e+02,6.727996655957639405e+02,6.726265202901427074e+02,6.724533749845214743e+02,2.770324889939508466e+03
7.934804018333557529e+00,6.829620770263185250e+02,6.693016744587745279e+02,6.700390837070741554e+02,6.698671344034415824e+02,6.696951850998090094e+02,2.751188858121358408e+03
8.079073182303257994e+00,6.801312982343013118e+02,6.665652549598245287e+02,6.672975705503768040e+02,6.671268089873436793e+02,6.669560474243105546e+02,2.732185008530309005e+03
8.223342346272959347e+00,6.773200730597068286e+02,6.638477372910499525e+02,6.645749944083188439e+02,6.644054123815615185e+02,6.642358303548041931e+02,2.713312428117023501e+03
8.367611510242660700e+00,6.745282664358334159e+02,6.611489908879722179e+02,6.618712244733852685e+02,6.617028138352516180e+02,6.615344031971178538e+02,2.694570210139057963e+03
8.511880674212362052e+00,6.717557442289532901e+02,6.584688860879881531e+02,6.591861308416142720e+02,6.590188835007319312e+02,6.588516361598495905e+02,2.675957454117296493e+03
8.656149838182063405e+00,6.690023732318680914e+02,6.558072941241391618e+02,6.565195845063568640e+02,6.563534924272448734e+02,6.561874003481327691e+02,2.657473265792682923e+03
8.800419002151764758e+00,6.662680211575087696e+02,6.531640871189250674e+02,6.538714573520775275e+02,6.537065125547597972e+02,6.535415677574420670e+02,2.639116757083264474e+03
8.944688166121464334e+00,6.635525566325798081e+02,6.505391380781604767e+02,6.512416221481996672e+02,6.510778167078220804e+02,6.509140112674444936e+02,2.620887046041517351e+03
9.088957330091165687e+00,6.608558491912474437e+02,6.479323208848725244e+02,6.486299525429925552e+02,6.484672785894417757e+02,6.483046046358911099e+02,2.602783256811972024e+03
9.233226494060867040e+00,6.581777692688710886e+02,6.453435102932420477e+02,6.460363230575003399e+02,6.458747727750260310e+02,6.457132224925517221e+02,2.584804519589136817e+03
9.377495658030568393e+00,6.555181881957784071e+02,6.427725819225858004e+02,6.434606090795136879e+02,6.433001747063526636e+02,6.431397403331917531e+02,2.566949970575704810e+03
9.521764822000269746e+00,6.528769781910837082e+02,6.402194122513808452e+02,6.409026868575828075e+02,6.407433606855864809e+02,6.405840345135901543e+02,2.549218751941052233e+03
9.666033985969969322e+00,6.502540123565482872e+02,6.376838786113299875e+02,6.383624334950718548e+02,6.382042078693356189e+02,6.380459822435993829e+02,2.531610011780026525e+03
9.810303149939670675e+00,6.476491646704832874e+02,6.351658591814671126e+02,6.358397269442533570e+02,6.356825942627488075e+02,6.355254615812443717e+02,2.514122904072010442e+03
9.954572313909372028e+00,6.450623099816957620e+02,6.326652329823058380e+02,6.333344460004458369e+02,6.331783987136558380e+02,6.330223514268658391e+02,2.496756588640280370e+03
1.009884147787907338e+01,6.424933240034746404e+02,6.301818798700254547e+02,6.308464702961889543e+02,6.306915009067445226e+02,6.305365315172999772e+02,2.479510231111637495e+03
1.024311064184877473e+01,6.399420833076202371e+02,6.277156805306995011e+02,6.283756802954618479e+02,6.282217813577821062e+02,6.280678824201023644e+02,2.462383002876317278e+03
1.038737980581847609e+01,6.374084653185137768e+02,6.252665164745633319e+02,6.259219572879388807e+02,6.257691214078733992e+02,6.256162855278078041e+02,2.445374081048183598e+03
1.053164896978817566e+01,6.348923483072278486e+02,6.228342700303202264e+02,6.234851833832867669e+02,6.233334032177601784e+02,6.231816230522335900e+02,2.428482648425189382e+03
1.067591813375787702e+01,6.323936113856782413e+02,6.204188243394888786e+02,6.210652415054996709e+02,6.209145097621590139e+02,6.207637780188183569e+02,2.411707893450113261e+03
1.082018729772757837e+01,6.299121345008161370e+02,6.180200633507888597e+02,6.186620153872759147e+02,6.185123248241402507e+02,6.183626342610044730e+02,2.395049010171570899e+03
